,id,url,verified,username,fullname,avatar,timestamp,text,links,isQuote,isRetweet,isReply,replyingTo,likes,replies,retweets,quotes,searchQuery,images,quotedTweet
640,1830724024646988032,https://twitter.com/TheOfficialFNG/status/1830724024646988068,True,@TheOfficialFNG,niran,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1442842614538059780/C7Ga0e6I.jpg,2024-09-02 21:46:00+00:00,victor osimhen's agent got his qualifications on temu,[],True,False,False,,19900,32,716,7,Temu,['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GWgGvUbXEAExQxw.jpg'],"{'url': 'https://twitter.com/FabrizioRomano/status/1830720666812715070', 'avatar': '', 'username': '@FabrizioRomano', 'fullname': 'Fabrizio Romano', 'timestamp': '2024-09-02T21:33:00.000Z', 'text': '🚨🟡🔴 BREAKING: Victor Osimhen to Galatasaray, here we go! Deal done and all documents have been approved.\n\nOsimhen’s release clause will be €75m with Napoli option to extend until 2027.\n\nLoan move to Gala until June 2025, €9/10m salary covered.\n\nNo buy option, no obligation.', 'links': [], 'images': ['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GWgGvUbXEAExQxw.jpg']}"
641,1830686271376593152,https://twitter.com/RobPerroneShow/status/1830686271376593067,False,@RobPerroneShow,Roberto Perrone,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1689182130775969792/rFuxnxtQ.jpg,2024-09-02 19:16:00+00:00,"No matter how many times I dismiss the Temu ad on my timeline, I am still plagued by it. If anything, it's getting worse. Such a shame what's happened to Twitter.",[],False,False,False,,17,11,0,0,Temu,,
642,1830640022019874816,https://twitter.com/kolobe_88/status/1830640022019874904,True,@kolobe_88,Storks margarine,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1094449035329630208/4dLyvaoG.jpg,2024-09-02 16:12:00+00:00,"Token of appreciation is a revised version of VIP group

More like SHEIN and TEMU vibes👍",[],True,False,False,,83,14,6,3,Temu,,"{'url': 'https://twitter.com/AlickLu96334248/status/1830635447854235688', 'avatar': '', 'username': '@AlickLu96334248', 'fullname': 'king punter Sports 𝕏', 'timestamp': '2024-09-02T15:54:00.000Z', 'text': 'Can someone please explain to me how this “ token of appreciation “ stuff work because I don’t have a clue..I see a lot of people talking about token of appreciation after yesterday?🍏🤔\n\nSomeone was asking ☝🏿\n\nMy answer 👇🏿\n\nThis means the people who followed your slips can send you something but don’t force them or ask them those who want to send they will come to your Dm', 'links': []}"
643,1830494263278240256,https://twitter.com/imageplotter/status/1830494263278240251,False,@imageplotter,Chris 🕷🐦,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/570299044312776704/kHg_mUZg.jpeg,2024-09-02 06:33:00+00:00,"In their effort to finally convert me into a Temu customer after I have pressed ‘not interested in this ad’ approximately 97 times a day for weeks, the Twitter algorithm folks have played their trump card on me: Temu Christmas toy ads. That’ll teach me! 😂",[],False,False,False,,43,7,1,0,Temu,,
644,1830430782223208704,https://twitter.com/nyebe_official/status/1830430782223208799,True,@nyebe_official,Lerato Pillay 🇿🇦💎🇿🇦,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1615378893732454403/T099ppvc.jpg,2024-09-02 02:21:00+00:00,"Drowing in the Mediterranean seas
Banned VISA's in Saudi Arabia
Japa
Black Axe cultism
Tribal intolerance
Rice looting
Religious intolerance 
0 Olympic medals
Japa
Low national literacy rate
Temu tiara's
Highest global HIV infant births
Extreme poverty 
Cannibalism
Japa
Tinubu
Drug$",[],False,False,True,['/stats_feed'],147,14,8,0,Temu,,
645,1830360999192346880,https://twitter.com/TheAkiraGroup/status/1830360999192346768,True,@TheAkiraGroup,Akira,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1724159130967920640/jNNxgOHY.jpg,2024-09-01 21:44:00+00:00,temu chains coming in clutch 🔥,[],False,False,True,['/FearedBuck'],14582,21,69,2,Temu,,
646,1830356814338162944,https://twitter.com/ISephara/status/1830356814338162839,True,@ISephara,🇿🇦 iScathulo SePhara 👞,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1846665332859002880/hPeAiEHC.jpg,2024-09-01 21:27:00+00:00,"Drowing in the Mediterranean seas
Banned VISA's in Saudi Arabia
Japa
Black Axe cultism
Tribal intolerance
Rice looting
Religious intolerance 
0 Olympic medals
Japa
Low national literacy rate
Temu tiara's
Highest global HIV infant births
Extreme poverty 
Cannibalism
Japa
Tinubu",[],True,False,False,,397,88,78,7,Temu,['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GWZ2k_6W0AAbn_0.jpg'],"{'url': 'https://twitter.com/stats_feed/status/1830280682276311406', 'avatar': '', 'username': '@stats_feed', 'fullname': 'World of Statistics', 'timestamp': '2024-09-01T16:24:00.000Z', 'text': 'What comes to mind when you think of Nigeria?', 'links': [], 'images': ['https://cdn.xcancel.comhttps://pbs.twimg.com/media/GWZ2k_6W0AAbn_0.jpg']}"
647,1830301544811831296,https://twitter.com/destinyzee/status/1830301544811831404,True,@destinyzee,Miss Ziprusha,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1610377626287329282/GChKRfNR.jpg,2024-09-01 17:47:00+00:00,I just heard a few people that they are going to buy that crown from Temu 😱,[],False,False,False,,1253,107,104,17,Temu,,
648,1830294251433017600,https://twitter.com/OneFatalShot/status/1830294251433017610,False,@OneFatalShot,Kendal in the Bank. ༉ | Not @jmehytr.,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1842712369438306304/jBHGCO4I.jpg,2024-09-01 17:18:00+00:00,"Men trying to flirt with me, day ruined.",[],False,False,False,,3,7,0,1,Temu,,
649,1830285529146929152,https://twitter.com/Scrumptuosity/status/1830285529146929202,False,@Scrumptuosity,Scrumptuosity,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1613769058708488195/P3b925nK.jpg,2024-09-01 16:44:00+00:00,My Temu Lingerie arrived I'm so excited I feel so grown 🤣🤣🤣🤣✨💯,[],False,False,False,,33,8,0,0,Temu,,
650,1830244025162748160,https://twitter.com/saras76/status/1830244025162748072,True,@saras76,Sara Rose 🇺🇸🌹,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1822356372043751424/VZpk0MV-.jpg,2024-09-01 13:59:00+00:00,"Even your followers don't believe you anymore, Temu reject Obama",[],False,False,True,['/RepJeffries'],1440,26,105,2,Temu,,
